BIOCHEMICAL,refmet_name,super_class,main_class,sub_class,formula,exactmass,inchi_key,smiles,pubchem_cid
2-Pyrrolidinone_ TMS derivative,2-Pyrrolidinone,Organoheterocyclic compounds,Pyrrolidones,Pyrrolidones,C4H7NO,85.052764,HNJBEVLQSNELDL-UHFFFAOYSA-N,O=C1CCCN1,12025.0
3-indoleacetic acid,Indoleacetic acid,Alkaloids,Tryptophan alkaloids,Indoleacetic acid alkaloids,C10H9NO2,175.063329,SEOVTRFCIGRIMH-UHFFFAOYSA-N,O=C(O)Cc1c[nH]c2ccccc12,802.0
3-indolelactic acid 2,Indoleacetic acid,Alkaloids,Tryptophan alkaloids,Indoleacetic acid alkaloids,C10H9NO2,175.063329,SEOVTRFCIGRIMH-UHFFFAOYSA-N,O=C(O)Cc1c[nH]c2ccccc12,802.0
3-Pyridinol_ TMS derivative,3-Hydroxypyridine,Alkaloids,Nicotinic acid alkaloids,Pyridine alkaloids,C5H5NO,95.037114,GRFNBEZIAWKNCO-UHFFFAOYSA-N,Oc1cccnc1,7971.0
4-hydroxyphenylacetic acid,4-Hydroxyphenylacetic acid,Polyketides,Phenolic acids,Phenolic acids,C8H8O3,152.047345,XQXPVVBIMDBYFF-UHFFFAOYSA-N,O=C(O)Cc1ccc(O)cc1,127.0
4-Pyridinol_ TMS derivative,4-Pyridone,Alkaloids,Nicotinic acid alkaloids,Pyridine alkaloids,C5H5NO,95.037114,GCNTZFIIOFTKIY-UHFFFAOYSA-N,O=c1cc[nH]cc1,12290.0
5alpha-Cholestanol,Dihydrocholesterol,Sterol Lipids,Sterols,Cholesterols,C27H48O,388.370515,QYIXCDOBOSTCEI-QCYZZNICSA-N,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,6665.0
9-Decenoic acid_ TMS derivative,Caproleic acid,Fatty Acyls,Fatty acids,Unsaturated FA,C10H18O2,170.13068,KHAVLLBUVKBTBG-UHFFFAOYSA-N,C=CCCCCCCCC(=O)O,61743.0
9-Hexadecenoic acid_ (Z)-_ TBDMS derivative,Palmitoleic acid,Fatty Acyls,Fatty acids,Unsaturated FA,C16H30O2,254.22458,SECPZKHBENQXJG-FPLPWBNLSA-N,CCCCCC/C=C\CCCCCCCC(=O)O,445638.0
Acetamide_ TMS derivative,Acetamide,Organic acids,Carboximidic acids,Carboximidic acids,C2H5NO,59.037114,DLFVBJFMPXGRIB-UHFFFAOYSA-N,CC(N)=O,178.0
acetohydroxamic acid,Acetohydroxamic acid,Organic acids,Carboxylic acids,Other carboxylic acids,C2H5NO2,75.032029,RRUDCFGSUDOHDG-UHFFFAOYSA-N,CC(=O)NO,1990.0
.alpha.-D-Glucopyranose_ 2_3_4_6-tetrakis-O-(trimethylsilyl)-_ bis(trimethylsilyl) phosphate,Glucose,Carbohydrates,Monosaccharides,Hexoses,C6H12O6,180.06339,WQZGKKKJIJFFOK-GASJEMHNSA-N,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,5793.0
.alpha.-Tocopherol_ TMS derivative,alpha-Tocopherol,Prenol Lipids,Quinones and hydroquinones,Vitamin E,C29H50O2,430.38108,GVJHHUAWPYXKBD-IEOSBIPESA-N,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,14985.0
Aminomalonic acid_ tris(trimethylsilyl)-,Aminomalonic acid,Organic acids,Amino acids and peptides,Amino acids,C3H5NO4,119.021859,JINBYESILADKFW-UHFFFAOYSA-N,NC(C(=O)O)C(=O)O,100714.0
Anthraquinone_ 1-(o-chlorophenyl)-,"9,10-Anthraquinone",Polyketides,Aromatic polyketides,Anthracenes and phenanthrenes,C14H8O2,208.05243,RZVHIXYEVGDQDX-UHFFFAOYSA-N,O=C1c2ccccc2C(=O)c2ccccc21,6780.0
arabinose,Arabinose,Carbohydrates,Monosaccharides,Pentoses,C5H10O5,150.052825,PYMYPHUHKUWMLA-WDCZJNDASA-N,O=C[C@@H](O)[C@H](O)[C@H](O)CO,66308.0
